input position,input joint,output joint
"(-0.86, 1.32)","(1.48, 2.72)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.54, 2.84)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.47, 2.78)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.43, 2.9)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.53, 2.85)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.44, 2.74)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.41, 2.78)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.52, 2.73)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.59, 2.83)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.53, 2.73)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.41, 2.85)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.42, 2.76)","(1.49, 2.81)"
"(-0.86, 1.32)","(1.56, 2.91)","(1.49, 2.81)"
"(-0.92, 1.0)","(1.47, 3.23)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.49, 3.14)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.49, 3.09)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.42, 3.16)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.55, 3.19)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.47, 3.14)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.48, 3.15)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.46, 3.22)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.43, 3.13)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.55, 3.16)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.45, 3.12)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.51, 3.06)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.45, 3.21)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.51, 3.19)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.45, 3.13)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.46, 3.19)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.41, 3.22)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.45, 3.23)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.58, 3.22)","(1.49, 3.14)"
"(-0.92, 1.0)","(1.39, 3.17)","(1.49, 3.14)"
"(-1.25, 0.97)","(1.91, -3.06)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.75, -3.07)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.78, -3.13)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.82, -3.1)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.84, -3.11)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.86, -3.23)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.86, -3.15)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.8, -3.11)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.73, -3.09)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.78, -3.24)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.87, -3.15)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.87, -3.1)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.77, -3.17)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.76, -3.11)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.86, -3.22)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.78, -3.09)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.86, -3.12)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.76, -3.21)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.91, -3.24)","(1.82, -3.14)"
"(-1.25, 0.97)","(1.9, -3.18)","(1.82, -3.14)"
"(-1.19, 0.64)","(1.74, -2.77)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.81, -2.8)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.89, -2.74)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.74, -2.75)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.83, -2.76)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.76, -2.75)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.89, -2.87)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.72, -2.85)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.87, -2.74)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.76, -2.76)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.8, -2.79)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.87, -2.74)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.8, -2.72)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.79, -2.9)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.84, -2.9)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.91, -2.77)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.82, -2.81)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.87, -2.74)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.78, -2.77)","(1.82, -2.81)"
"(-1.19, 0.64)","(1.76, -2.85)","(1.82, -2.81)"
"(-1.03, 0.36)","(1.9, -2.42)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.86, -2.43)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.78, -2.55)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.88, -2.4)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.75, -2.4)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.84, -2.45)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.88, -2.54)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.75, -2.55)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.87, -2.43)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.84, -2.48)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.78, -2.5)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.82, -2.56)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.87, -2.45)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.87, -2.4)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.9, -2.4)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.86, -2.46)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.91, -2.54)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.77, -2.42)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.75, -2.54)","(1.82, -2.48)"
"(-1.03, 0.36)","(1.88, -2.5)","(1.82, -2.48)"
"(-0.79, 0.13)","(1.88, -2.14)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.87, -2.2)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.76, -2.17)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.83, -2.12)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.79, -2.18)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.77, -2.09)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.89, -2.23)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.81, -2.12)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.91, -2.13)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.84, -2.07)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.83, -2.17)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.89, -2.06)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.89, -2.17)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.84, -2.17)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.83, -2.16)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.77, -2.19)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.76, -2.11)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.86, -2.22)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.78, -2.19)","(1.82, -2.15)"
"(-0.79, 0.13)","(1.84, -2.09)","(1.82, -2.15)"
"(-0.49, 0.0)","(1.88, -1.78)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.81, -1.81)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.9, -1.83)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.88, -1.88)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.76, -1.72)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.79, -1.84)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.86, -1.73)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.73, -1.88)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.74, -1.84)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.87, -1.92)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.75, -1.79)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.86, -1.84)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.85, -1.84)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.83, -1.81)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.85, -1.8)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.87, -1.85)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.82, -1.77)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.81, -1.73)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.72, -1.72)","(1.82, -1.82)"
"(-0.49, 0.0)","(1.74, -1.87)","(1.82, -1.82)"
"(-0.16, -0.03)","(1.9, -1.51)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.72, -1.5)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.75, -1.43)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.77, -1.46)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.77, -1.51)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.79, -1.39)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.83, -1.49)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.9, -1.56)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.85, -1.51)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.79, -1.4)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.73, -1.54)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.87, -1.41)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.88, -1.52)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.85, -1.44)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.77, -1.51)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.8, -1.45)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.91, -1.56)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.9, -1.46)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.81, -1.41)","(1.82, -1.49)"
"(-0.16, -0.03)","(1.74, -1.41)","(1.82, -1.49)"
"(0.16, 0.05)","(1.78, -1.08)","(1.82, -1.16)"
"(0.16, 0.05)","(1.74, -1.12)","(1.82, -1.16)"
"(0.16, 0.05)","(1.79, -1.11)","(1.82, -1.16)"
"(0.16, 0.05)","(1.82, -1.12)","(1.82, -1.16)"
"(0.16, 0.05)","(1.74, -1.22)","(1.82, -1.16)"
"(0.16, 0.05)","(1.83, -1.08)","(1.82, -1.16)"
