input position,input joint,output joint
"(0.16, 1.89)","(1.84, 1.24)","(1.82, 1.16)"
"(0.16, 1.89)","(1.72, 1.09)","(1.82, 1.16)"
"(0.16, 1.89)","(1.74, 1.14)","(1.82, 1.16)"
"(0.16, 1.89)","(1.78, 1.12)","(1.82, 1.16)"
"(0.16, 1.89)","(1.82, 1.21)","(1.82, 1.16)"
"(0.16, 1.89)","(1.88, 1.23)","(1.82, 1.16)"
"(0.16, 1.89)","(1.8, 1.17)","(1.82, 1.16)"
"(0.16, 1.89)","(1.83, 1.24)","(1.82, 1.16)"
"(0.16, 1.89)","(1.84, 1.25)","(1.82, 1.16)"
"(0.16, 1.89)","(1.85, 1.24)","(1.82, 1.16)"
"(-0.16, 1.97)","(1.84, 1.42)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.75, 1.46)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.89, 1.51)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.83, 1.48)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.74, 1.44)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.91, 1.49)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.76, 1.48)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.81, 1.41)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.91, 1.55)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.75, 1.41)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.89, 1.59)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.79, 1.54)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.81, 1.52)","(1.82, 1.49)"
"(-0.16, 1.97)","(1.87, 1.55)","(1.82, 1.49)"
