input position,input joint,output joint
"(1.39, 1.08)","(1.18, 0.15)","(1.16, 0.17)"
"(1.39, 1.08)","(1.14, 0.16)","(1.16, 0.17)"
"(1.39, 1.08)","(1.12, 0.14)","(1.16, 0.17)"
"(1.39, 1.08)","(1.16, 0.17)","(1.16, 0.17)"
"(1.39, 1.08)","(1.12, 0.13)","(1.16, 0.17)"
"(1.39, 1.08)","(1.19, 0.12)","(1.16, 0.17)"
"(1.39, 1.08)","(1.11, 0.16)","(1.16, 0.17)"
"(1.39, 1.08)","(1.18, 0.14)","(1.16, 0.17)"
"(1.39, 1.08)","(1.13, 0.19)","(1.16, 0.17)"
"(1.28, 1.39)","(1.11, 0.48)","(1.16, 0.5)"
"(1.28, 1.39)","(1.19, 0.47)","(1.16, 0.5)"
"(1.28, 1.39)","(1.18, 0.47)","(1.16, 0.5)"
"(1.28, 1.39)","(1.13, 0.52)","(1.16, 0.5)"
"(1.28, 1.39)","(1.15, 0.49)","(1.16, 0.5)"
"(1.28, 1.39)","(1.21, 0.47)","(1.16, 0.5)"
"(1.28, 1.39)","(1.12, 0.51)","(1.16, 0.5)"
"(1.28, 1.39)","(1.15, 0.49)","(1.16, 0.5)"
"(1.28, 1.39)","(1.13, 0.47)","(1.16, 0.5)"
"(1.28, 1.39)","(1.16, 0.52)","(1.16, 0.5)"
"(1.08, 1.65)","(1.2, 0.85)","(1.16, 0.83)"
"(1.08, 1.65)","(1.16, 0.86)","(1.16, 0.83)"
"(1.08, 1.65)","(1.17, 0.86)","(1.16, 0.83)"
"(1.08, 1.65)","(1.17, 0.8)","(1.16, 0.83)"
"(1.08, 1.65)","(1.15, 0.87)","(1.16, 0.83)"
"(1.08, 1.65)","(1.2, 0.85)","(1.16, 0.83)"
"(1.08, 1.65)","(1.15, 0.83)","(1.16, 0.83)"
"(1.08, 1.65)","(1.16, 0.8)","(1.16, 0.83)"
"(1.08, 1.65)","(1.14, 0.79)","(1.16, 0.83)"
"(1.08, 1.65)","(1.18, 0.83)","(1.16, 0.83)"
"(0.8, 1.83)","(1.13, 1.14)","(1.16, 1.16)"
"(0.8, 1.83)","(1.15, 1.19)","(1.16, 1.16)"
"(0.8, 1.83)","(1.15, 1.15)","(1.16, 1.16)"
"(0.8, 1.83)","(1.18, 1.18)","(1.16, 1.16)"
"(0.8, 1.83)","(1.19, 1.12)","(1.16, 1.16)"
"(0.8, 1.83)","(1.16, 1.15)","(1.16, 1.16)"
"(0.8, 1.83)","(1.14, 1.12)","(1.16, 1.16)"
"(0.8, 1.83)","(1.2, 1.15)","(1.16, 1.16)"
"(0.8, 1.83)","(1.16, 1.17)","(1.16, 1.16)"
"(0.8, 1.83)","(1.14, 1.19)","(1.16, 1.16)"
"(0.48, 1.91)","(1.14, 1.54)","(1.16, 1.49)"
"(0.48, 1.91)","(1.18, 1.46)","(1.16, 1.49)"
"(0.48, 1.91)","(1.13, 1.53)","(1.16, 1.49)"
"(0.48, 1.91)","(1.14, 1.49)","(1.16, 1.49)"
"(0.48, 1.91)","(1.13, 1.44)","(1.16, 1.49)"
"(0.48, 1.91)","(1.16, 1.5)","(1.16, 1.49)"
"(0.48, 1.91)","(1.19, 1.5)","(1.16, 1.49)"
"(0.48, 1.91)","(1.19, 1.49)","(1.16, 1.49)"
"(0.48, 1.91)","(1.14, 1.45)","(1.16, 1.49)"
"(0.48, 1.91)","(1.12, 1.5)","(1.16, 1.49)"
"(0.16, 1.89)","(1.12, 1.8)","(1.16, 1.82)"
"(0.16, 1.89)","(1.21, 1.79)","(1.16, 1.82)"
"(0.16, 1.89)","(1.18, 1.84)","(1.16, 1.82)"
